,Unnamed: 0,text,identity_attack_x,bias,target,category,rationale,race,religion,gender,lgbtq,political
4990,4990,What have 'all' Pakistani people done to deserve deportation? Sweeping generalisations like this are divisive and fuel false fearmongering around migrants.,0.25,0,muslims,none,,0,0,0,0,0
7033,7033,"Islam is a religion, and all religions are about love, not hate.",0.25,0,muslims,none,,0,0,0,0,0
1709,1709,Thats disturbing that an atheist and presumably an agnostic could never be voted into office. And its also disturbing that religion or any of these categories automatically would have an affect on votes.,0.5,1,atheists,religion,prejudice against atheists,0,1,0,0,0
2624,2624,Your nasty racists blather is ridiculous.  Not enough jobs?  Tell me how many Americans you know real ones  white people want to pick lettuce?  Roof houses in 100 degree heat?  Fix potholes in a Texas summer?  Sorry most Americans would rather collect welfare or fake disability.,0.267605634,1,whites,race,prejudice against whites,1,0,0,0,0
5589,5589,"Undermine or speak their mind? Yes, women have minds and they work just as well as men's.",0.25,0,women,none,,0,0,0,0,0
8113,8113,Do women really need to be told what they can or cannot wear? For many generations boys were told to wear trousers and girls to wear dresses. Does society really need to tell us all what to wear?,0.25,0,women,none,,0,0,0,0,0
1963,1963,Radicalised Muslim known to security agencies shot dead in possible terror incident at Paris airport   Good shooting boys   URL shotkilledsecurityforcesparisairportattemptingseize,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
5393,5393,"Jews have played an important part in the development of the movie industry and some find themselves in high-profile positions. But you only need to watch the Academy Awards to see that Jews do not dominate the movie industry. Likewise, Jews constitute a small minority of the heads of Fortune 500 companies.",0.25,0,jews,none,,0,0,0,0,0
6648,6648,"We live in a complex and diverse world: I find it strange that men still feel this way about women, and that they don't consider women as human as they are, and to be worth valuing as such.",0.25,0,women,none,,0,0,0,0,0
7388,7388,"The problem is neither about Islam nor about cultural relativism. Instead of inflating Islam as a problem and subjecting it to a ""politically correct"" spin, we should be focusing on becoming more inclusive.",0.25,0,muslims,none,,0,0,0,0,0
7332,7332,"Women have been oppressed by men. The level of equality that exists today is due, in large part, to the work of women like Germaine Greer.",0.25,0,women,none,,0,0,0,0,0
2407,2407,We must build a wall to keep these transgendered sheeplovers from invading the Homeland and forcing their boiled food on us,0.608108108,1,transgenders,lgbtq,prejudice towards transgenders,0,0,0,1,0
434,434,Contrary to liberal lies kids are learning that being white is one of the worst things you can be being a white male is a double whammy.  Liberals love to pit one group against another and spread their hate that way Unarmed minorities?   Is that why some of the most violent areas in the country are where minorities congregate?  I know from past posts that you are black and proud. From this post and others that you are prohate.   Why should it be any more racist for me to be white and proud? Antihate white proud and unapologetic.,0.8,0,,none,,0,0,0,0,0
4316,4316,Oh noes Its the gay agenda and their plan of whitextianmale genocide,0.7375,1,gays,lgbtq,prejudice against gays,0,0,0,1,0
3503,3503,You are 100 correct. In japan there are no 3rd world Mexicans or negros and in England  Germany and Canada the people live as peasants in a multicultural cesspool.,0.557142857,1,"mexicans,blacks",race,prejudice against races,1,0,0,0,0
1040,1040,The Globes resident antiwhite bigot continues to spew her nonsense.,0.272727273,0,,none,,0,0,0,0,0
4300,4300,And conveniently but not surprisingly NASCAR is all white no pesky blacks to upset the fans.,0.6,1,"whites,blacks",race,prejudice against blacks and whites,1,0,0,0,0
3622,3622,He praised the strike saying killing Islamic State fighters was a positive move.  Amen.,0.7,0,,none,,0,0,0,0,0
990,990,Another gayhating selfrighteous Christian extremist child molester. Yep.. hell win. Hes a perfect representation of the current Republican party.,0.6,0,,none,,0,0,0,0,0
857,857,God Bless the Kid. Our nation was founded by young hardcore asskickers. Not liberal transgender pussies.,0.775,1,liberals,political,prejudice against liberals,0,0,0,0,1
1024,1024,Frank Carey and a world where white men reigned supreme and women knew their place.,0.7,1,"whites,men,women","race,gender",prejudice against race and genders,1,0,1,0,0
3375,3375,Only black presidents arent allowed to play golf.,0.833333333,1,blacks,race,prejudice against blacks,1,0,0,0,0
7676,7676,"I can argue that the 'trouble' of the past hundred years has more to do with extremism in general, rather than with a particular religion.",0.25,0,jews,none,,0,0,0,0,0
1414,1414,The Muslims are angry all over the world and they are costing us Trillions of dollars in expenses and security incoveniences. The FLQ did similar things in the 70s in Canada and we expanded French rights all over the country  and the IRA made similar accomplishments in England  too and we sat down and accommodated them even if we didnt like them....what exactly do the radical Muslims want...most of them blame Israel....is that true or not.,0.833333333,1,muslims,religion,prejudice against muslims,0,1,0,0,0
5964,5964,This is not true. It is right that women have access to the vote. It is most representative of society that way.,0.25,0,women,none,,0,0,0,0,0
2835,2835,In every country where full face covering are common without exception there is no freedom of expression including religious satire no gender equality and no freedom of sexual orientation.  How can any country be taken seriously when people are killed for blasphemy based on the interpretations of an illiterate warlord who was enlightened through the whispers of archangel Gabriel and Gabriel only speaks Arabic?. People are free to worship whoever they want but the idea that Saudi Arabia or any other of the 57 members of the OIC are beacons of gender equality is absolutely ridiculous.  Women are treated equally in Saudi Arabia they just cant drive? And women in Iran are treated equally they just get beaten when in breach of the morality codes?  As   Hitchens would say dont waste my time.,0.545454545,1,muslims,religion,prejudice against muslims,0,1,0,0,0
2099,2099,Sure no one can stop us from doing that But later if they retaliate pls dont cry like the lady and other Muslims if you wont get entry into the US,0.6,1,muslims,religion,prejudice against muslims,0,1,0,0,0
2788,2788,OH How quickly The Losers Forget Let us Not Forget Obamas They cling to their Bibles and Guns civility A direct attack on the rights and principles of America. Profanity to the ears of a patriot. And HRCs Basket of deplorables...hmmm yes... Civil and charming WHEN precisely did President Trump Ever Call blacks N s ?,0.263157895,0,,none,,0,0,0,0,0
2830,2830,For some reason reading your post brings to mind Chechen President Ramzan Kadyrov. He recently denied a persecution of gay men in Chechnya which included torturing and even killing gays. His incontrovertible evidence? There are no gays in Chechnya,0.8,1,gays,lgbtq,prejudice towards gays,0,0,0,1,0
